 ,Label,Area,Mean,StdDev,Min,Max,Perim.
174,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8324-2212,0.410,3.400,0.000,3.400,3.400,2.562
175,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8324-2210,1.641,3.753,0.512,3.400,4.500,4.529
176,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8341-5683,6.565,3.410,0.964,2.056,5.714,8.528
177,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8370-4575,8.206,4.793,0.960,3.100,7.286,9.809
178,slice0010_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015443.858,1.068,0.116,0.000,22.800,23728.782
179,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2323-3210,3.693,2.765,0.466,2.300,3.625,6.716
180,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3167-4108,0.410,2.300,0.000,2.300,2.300,2.562
181,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3169-4108,0.410,3.000,0.000,3.000,3.000,2.562
182,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4031-3371,16.002,2.897,0.497,2.000,4.333,14.714
183,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6249-2246,43.493,3.429,0.676,2.235,5.182,24.368
184,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7810-2476,67.291,4.978,1.169,3.100,8.571,31.615
185,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8138-2537,3.283,3.425,0.456,2.800,4.125,5.811
186,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8341-5683,6.975,3.503,0.647,2.333,4.625,9.279
187,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8370-4576,6.155,4.760,0.988,3.556,7.000,8.528
188,slice0011_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4642-4619,31015443.858,1.068,0.115,0.000,13.071,23728.782
189,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2323-3220,0.410,2.556,0.000,2.556,2.556,1.812
190,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:2323-3210,4.103,2.833,0.305,2.364,3.375,7.092
191,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:3166-4110,0.410,2.556,0.000,2.556,2.556,2.562
192,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:4031-3370,14.771,2.886,0.543,1.909,4.143,14.869
193,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6249-2244,41.442,3.514,0.727,2.214,5.667,23.837
194,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:6401-3858,0.410,2.900,0.000,2.900,2.900,2.562
195,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:7810-2476,67.291,4.999,1.047,2.750,8.714,30.709
196,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8139-2537,2.872,3.278,0.303,3.000,3.875,6.341
197,slice0012_Result of After_GA3_A3 Region1_Merged_RAW_ch01.tif:8341-5682,6.975,3.385,0.829,2.267,5.000,9.434
